DATE-TIME,sivt,givtc_desktop,mobileApp,givts_mobileWeb,givtt_desktop,givtb_mobileApp,givt,givtb_mobileWeb,givtt_mobileApp,sivt_mobileApp,givtc_mobileApp,desktop,givta_mobileApp,givtb_desktop,TOTAL,givts_mobileApp,mobileWeb,givtt_mobileWeb,givtc_mobileWeb,sivt_desktop,sivt_mobileWeb,givts_desktop,givta_mobileWeb,givta_desktop
2019-05-01-00,1909186,393626,19643507,10629,38694,17,690765,516,2,107594,8872,64366422,0,28271,149630583,0,65620654,91552,36555,1234985,566607,115074,15,31475
2019-05-01-01,1783218,369156,15161286,11867,37342,2,662416,691,1,93395,8239,57582033,1,35094,136584229,7,63840910,91367,33608,1157775,532048,113438,8,25525
2019-05-01-02,1732292,355788,12724127,12210,41550,2,629662,166,25,82323,8803,56780582,0,28474,134138126,0,64633417,76403,32962,1124434,525535,109263,0,30408
2019-05-01-03,1674076,300342,11413990,12074,38924,0,555674,65,2,75380,8064,58984476,0,17436,131246779,2,60848313,74894,30288,1092602,506094,107006,0,23744
2019-05-01-04,1651505,287363,11015844,11044,41789,0,543532,153,3,74436,8524,60956757,0,15098,127925316,2,55952715,79266,28790,1100368,476701,103506,0,32317
2019-05-01-05,1672350,282653,13711607,10652,40004,1,547095,177,4,86254,8845,64040427,1,20545,135313725,0,57561691,76774,29504,1095703,490393,107589,55,29361
2019-05-01-06,1851498,335203,20083846,12254,43179,12,615088,199,3,101320,10308,72465728,1,17757,161559057,0,69009483,72532,31965,1200306,549872,124586,71,30605
2019-05-01-07,2128636,423948,23009063,10896,49952,11,738115,324,3,116241,10103,91056356,0,18804,195606118,3,81540699,83581,41586,1388402,623993,126022,33,27350
2019-05-01-08,2415988,579330,22545962,10120,41703,33,922299,770,4,126412,15075,117545907,0,23312,225144178,3,85052309,88417,53430,1650909,638667,135134,0,34379
2019-05-01-09,2628682,691724,21773096,11286,45380,17,1052972,397,13,131531,19507,139162734,1,26906,244375575,0,83439745,88702,62138,1864868,632283,124809,0,32838
2019-05-01-10,2631439,755228,21851803,11346,48106,24,1130001,371,7,139881,24358,149507024,0,32914,251937342,6,80578515,88528,66506,1902256,589302,122696,2,34189
2019-05-01-11,2681122,814253,22412520,12717,45612,3,1195468,240,4,142663,24300,158710837,0,38551,262640940,1,81517583,88522,70242,1967947,570512,119269,2,32535
2019-05-01-12,2823946,894472,25811495,13396,42943,9,1259633,248,5,172546,27605,162152641,1,23206,275324220,2,87360084,88310,74507,2073894,577506,116277,2,31300
2019-05-01-13,2839824,913035,26432564,11128,38398,1,1266490,454,10,162351,25609,155194505,0,21236,269907223,0,88280154,82083,75294,2100845,576628,126707,2,31833
2019-05-01-14,2781149,839293,25374516,12924,40615,9,1197092,288,2,152851,22707,154367264,0,23337,270980078,0,91238298,86365,71171,2025738,602560,121605,8,33301
2019-05-01-15,2734577,803624,27010317,11049,40870,14,1148183,296,1,157805,21398,149380320,0,28191,269659193,0,93268556,84420,66084,1967008,609764,115714,1,31774
2019-05-01-16,2711801,774453,27700564,11897,36771,16,1100454,385,4,162227,17837,139719069,0,30269,264785300,2,97365667,88848,60536,1908991,640583,107929,4,25216
2019-05-01-17,2535183,619748,29602331,10679,33378,6,927508,494,2,181340,15134,118614797,0,27016,245812810,0,97595682,86107,51963,1702936,650907,109526,3,30650
2019-05-01-18,2286199,504435,27532713,9206,32407,9,783899,508,1,159751,11659,97911768,0,21597,208882069,0,83437588,80170,43952,1513372,613076,108288,2,25962
2019-05-01-19,2292719,486392,26682058,10892,36056,13,792603,341,0,146481,10149,93510849,0,26050,197648010,0,77455103,85739,42430,1551987,594251,122943,6,31715
2019-05-01-20,2219513,428153,28349605,11282,34682,13,717073,320,7,122854,8690,90627417,0,24068,195328147,2,76351125,87299,39496,1497891,598768,111587,4,25138
2019-05-01-21,2182445,449924,28754027,10814,40358,10,737977,222,3,111756,7655,86747660,0,25472,193888400,0,78386713,84015,38463,1452452,618237,110836,1,32440
2019-05-01-22,2026499,431186,24068529,10688,31337,25,702356,416,0,98528,6409,78856097,0,26184,176225868,4,73301242,77802,38349,1337628,590343,110715,31,26237
2019-05-01-23,1916271,433096,19997062,10189,37439,11,705430,458,3,90022,5658,67109449,0,27545,152004581,0,64898070,74950,34675,1270471,555778,114444,2,34512
2019-05-02-00,2010527,419299,20353790,11208,41166,32,733537,386,7,124925,10911,70528142,2,33621,163906125,1,73024193,94235,33922,1303003,582599,126635,3,29973
2019-05-02-01,1902240,405961,15811069,12867,37678,0,694679,310,3,109743,11326,64517622,0,28187,148989144,0,68660453,82845,32922,1246435,546062,124825,3,33294
2019-05-02-02,1860112,387221,13291456,12613,36364,1,671999,207,8,96872,11175,69834805,3,27853,146291875,0,63165614,75728,30550,1248607,514633,127989,10,27915
2019-05-02-03,1830402,364977,11734693,13636,38240,0,643130,216,3,87226,11193,75181393,3,23481,142994398,4,56078312,76170,28889,1236285,506891,122188,4,33076
2019-05-02-04,1866040,335319,11925451,12996,41982,1,607189,460,7,85732,11716,77492902,2,18578,142703158,7,53284805,72802,26992,1244477,535831,118175,14,24723
2019-05-02-05,2050487,352953,15407371,11963,39707,0,648966,199,0,101443,11513,82065277,2,17263,154912769,4,57440121,81706,28421,1359968,589076,134595,27,32944
2019-05-02-06,2135494,373792,21462288,12722,35633,5,671039,281,4,117423,9485,89583898,1,19698,183626675,0,72580489,72815,32462,1352078,665993,142834,14,32328
2019-05-02-07,2507087,496280,24732443,12627,42018,19,824114,668,9,133776,13228,109217901,1,24242,219411428,2,85461084,77096,44085,1580314,792997,138886,8,32520
2019-05-02-08,2659434,657632,23883193,11634,42056,18,996373,813,8,138154,16813,137102605,0,25679,248583080,3,87597282,79015,55193,1817190,704090,125888,1,35465
2019-05-02-09,2834948,781277,23438143,12329,39626,5,1145151,497,11,149206,20974,159273280,0,29739,268974616,0,86263193,77840,63544,2039649,646093,131186,3,41513
2019-05-02-10,2860034,848439,24036788,11644,38522,3,1204869,586,3,169618,23218,172379416,0,27327,281397447,0,84981243,72472,66559,2085817,604599,131755,5,40411
2019-05-02-11,2871458,884103,25278358,11833,42655,3,1249900,272,39,194281,27125,171398325,0,25630,279349297,0,82672614,71502,69164,2102329,574848,133216,0,40838
2019-05-02-12,2935089,960894,26366320,12141,39351,5,1320565,345,10,193110,24793,167944731,0,25469,280488617,4,86177566,78804,71767,2169372,572607,124817,9,39434
2019-05-02-13,2917281,927831,26570167,11168,36726,18,1277588,261,14,194444,23449,160965857,0,22674,276867329,5,89331305,75927,73777,2136128,586709,127632,5,39974
2019-05-02-14,2802246,841312,27122982,12747,34276,3,1181170,536,2,195987,22200,155199513,0,27252,273569018,8,91246523,76688,66378,2011150,595109,116312,3,39239
2019-05-02-15,2851372,840329,28953671,11335,36534,12,1177134,445,15,199990,19460,153324109,0,25521,276933797,2,94656017,80203,64324,2032650,618732,118228,25,40095
2019-05-02-16,2772791,783320,29625350,12475,34099,20,1085178,355,5,182981,15819,142996862,0,27483,270388715,0,97766503,66586,57336,1946318,643492,112482,1,39053
2019-05-02-17,2563828,624677,28582622,10802,37677,9,941422,224,4,155570,13424,119418368,0,25956,244350059,0,96349069,82374,47407,1746119,662139,119612,0,38631
2019-05-02-18,2297163,506603,25339849,9527,32453,4,795490,270,3,130133,10137,98005044,0,22977,207364859,0,84019966,81747,40093,1554327,612703,113175,0,36087
2019-05-02-19,2306550,491630,25029636,9859,31217,3,789586,390,2,119745,8669,92503679,0,24218,195995232,2,78461917,79471,38990,1580664,606141,125485,37,38180
2019-05-02-20,2209767,432056,28202131,11559,34802,0,707177,536,1,126288,9460,89238856,0,25961,195950568,1,78509581,67378,37665,1471602,611877,112056,1,35768
2019-05-02-21,2183577,430615,27918200,10595,33409,0,712339,344,10,122498,9267,87087601,0,20911,194970576,0,79964775,81579,37494,1414151,646928,109981,0,35337
2019-05-02-22,2037534,409504,24589622,11407,32055,16,684669,688,2,103015,6482,79338835,0,21020,181555062,0,77626605,76487,35019,1312298,622221,116332,6,29212
2019-05-02-23,1958264,423909,19360099,10570,34960,1,706190,211,3,94467,5274,69289390,0,21225,157214248,0,68564759,79170,32711,1290870,572927,124932,98,34699
2019-05-03-00,2041904,401384,20437284,10515,39795,2,695337,219,1,123712,9683,70800324,0,32280,163977347,2,72739739,83660,32409,1327872,590320,116638,1,37553
2019-05-03-01,1954619,379475,17441160,11684,31218,0,653090,424,1,123823,11107,66173347,0,34908,154913969,4,71299462,72506,31518,1264477,566319,117750,1,34254
2019-05-03-02,1909227,375080,14501638,12915,34616,0,647864,88,1,103240,10539,72070862,0,34674,153434798,0,66862298,70913,30019,1262021,543966,114095,21,36489
2019-05-03-03,1865024,334658,12624785,12253,38838,2,606510,50,7,84278,10367,76939523,0,22611,147608457,2,58044149,72430,27051,1247258,533488,114817,29,36465
